Date,Open,High,Low,Close,AdjClose,Volume
2022-09-09,1.152,1.1648,1.1516,1.1588,1.1588,59
2022-09-11,1.1627,1.1639,1.1603,1.162,1.162,230
2022-09-12,1.162,1.1711,1.1601,1.1689,1.1689,186
2022-09-13,1.1689,1.1738,1.1482,1.1503,1.1503,1792
2022-09-14,1.1503,1.159,1.148,1.1545,1.1545,213
2022-09-15,1.1545,1.1548,1.1451,1.1452,1.1452,829
2022-09-16,1.1452,1.1481,1.1351,1.1424,1.1424,904
2022-09-18,1.1418,1.1441,1.1412,1.1434,1.1434,71
2022-09-19,1.1434,1.1446,1.1356,1.1445,1.1445,708
2022-09-20,1.1445,1.1461,1.1358,1.1381,1.1381,782
2022-09-21,1.1381,1.1385,1.1237,1.1257,1.1257,1284
2022-09-22,1.1258,1.1365,1.1212,1.1263,1.1263,431
2022-09-23,1.1263,1.1274,1.084,1.0851,1.0851,3776
2022-09-25,1.0814,1.0846,1.078,1.0793,1.0793,329
2022-09-26,1.0793,1.0931,1.0344,1.0766,1.0766,4185
2022-09-27,1.0767,1.0838,1.0659,1.0726,1.0726,1017
2022-09-28,1.0726,1.0916,1.054,1.0831,1.0831,1756
2022-09-29,1.0831,1.1204,1.0762,1.1172,1.1172,656
2022-09-30,1.1172,1.1235,1.1026,1.1163,1.1163,1329
2022-10-02,1.1171,1.1195,1.1128,1.1136,1.1136,400
2022-10-03,1.1136,1.1342,1.1086,1.1338,1.1338,467
2022-10-04,1.1338,1.1489,1.1281,1.1451,1.1451,528
2022-10-05,1.1451,1.1496,1.1227,1.1356,1.1356,1973
2022-10-06,1.1356,1.1384,1.1113,1.1162,1.1162,2162
2022-10-07,1.1162,1.1225,1.1056,1.1094,1.1094,968
2022-10-09,1.1093,1.1095,1.1062,1.1073,1.1073,301
2022-10-10,1.1073,1.1112,1.102,1.1079,1.1079,498
2022-10-11,1.1079,1.118,1.0953,1.0964,1.0964,1159
2022-10-12,1.0964,1.1134,1.0924,1.1101,1.1101,387
2022-10-13,1.1101,1.1381,1.1057,1.1302,1.1302,413
2022-10-14,1.1302,1.1367,1.1152,1.118,1.118,1342
2022-10-16,1.1226,1.1251,1.1213,1.1242,1.1242,132
2022-10-17,1.1242,1.144,1.1216,1.1352,1.1352,247
2022-10-18,1.1352,1.1411,1.1256,1.1343,1.1343,866
2022-10-19,1.1343,1.1351,1.1185,1.1218,1.1218,1405
2022-10-20,1.1225,1.1293,1.1064,1.1221,1.1221,0
2022-10-21,1.1105,1.1315,1.1061,1.1298,1.1298,418
2022-10-23,1.1381,1.1409,1.1308,1.1336,1.1336,661
